"","x"
"1","4"
"2","3"
"3","5"
"4","5"
"5","3"
"6","2"
"7","5"
"8","5"
"9","3"
"10","2"
"11","3"
"12","3"
"13","3"
"14","5"
"15","4"
"16","3"
"17","3"
"18","4"
"19","4"
"20","4"
"21","3"
"22","5"
"23","5"
"24","3"
"25","2"
"26","4"
"27","4"
"28","2"
"29","5"
"30","3"
"31","5"
"32","2"
"33","4"
"34","2"
"35","5"
"36","3"
"37","5"
"38","5"
"39","5"
"40","4"
"41","4"
"42","4"
"43","1"
"44","4"
"45","4"
"46","3"
"47","4"
"48","4"
"49","4"
"50","3"
"51","1"
"52","3"
"53","3"
"54","4"
"55","2"
"56","5"
"57","1"
"58","4"
"59","4"
"60","3"
"61","5"
"62","4"
"63","4"
"64","4"
"65","5"
"66","4"
"67","4"
"68","5"
"69","3"
"70","2"
"71","2"
"72","4"
"73","3"
"74","2"
"75","3"
"76","1"
"77","4"
"78","4"
"79","5"
"80","5"
"81","3"
"82","4"
"83","5"
"84","2"
"85","5"
"86","2"
"87","2"
"88","2"
"89","4"
"90","5"
"91","3"
"92","4"
"93","5"
"94","4"
"95","5"
"96","2"
"97","1"
"98","5"
"99","3"
"100","4"
"101","4"
"102","5"
"103","4"
"104","5"
"105","4"
"106","5"
"107","5"
"108","5"
"109","3"
"110","5"
"111","4"
"112","2"
"113","5"
"114","4"
"115","5"
"116","4"
"117","2"
"118","3"
"119","5"
"120","2"
"121","3"
"122","5"
"123","4"
"124","4"
"125","2"
"126","3"
"127","5"
"128","5"
"129","5"
"130","3"
"131","5"
"132","2"
"133","4"
"134","4"
"135","5"
"136","5"
"137","5"
"138","2"
"139","2"
"140","3"
"141","5"
"142","5"
"143","3"
"144","2"
"145","2"
"146","3"
"147","3"
"148","4"
"149","4"
"150","5"
"151","3"
"152","2"
"153","5"
"154","4"
"155","2"
"156","5"
"157","5"
"158","3"
"159","5"
"160","2"
"161","5"
"162","4"
"163","4"
"164","3"
"165","3"
"166","4"
"167","3"
"168","3"
"169","5"
"170","5"
"171","4"
"172","2"
"173","2"
"174","4"
"175","2"
"176","4"
"177","2"
"178","4"
"179","4"
"180","4"
"181","2"
"182","5"
"183","3"
"184","5"
"185","1"
"186","1"
"187","4"
"188","3"
"189","2"
"190","5"
"191","5"
"192","4"
"193","5"
"194","4"
"195","3"
"196","3"
"197","5"
"198","4"
"199","5"
"200","3"
"201","4"
"202","4"
"203","5"
"204","3"
"205","4"
"206","5"
"207","4"
"208","3"
"209","5"
"210","4"
"211","2"
"212","3"
"213","3"
"214","1"
"215","5"
"216","4"
"217","4"
"218","5"
"219","5"
"220","1"
"221","4"
"222","4"
"223","4"
"224","3"
"225","3"
"226","4"
"227","1"
"228","5"
"229","3"
"230","5"
"231","5"
"232","2"
"233","5"
"234","5"
"235","5"
"236","5"
"237","2"
"238","2"
"239","4"
"240","4"
"241","3"
"242","3"
"243","3"
"244","5"
"245","3"
"246","2"
"247","4"
"248","5"
"249","5"
"250","5"
"251","5"
"252","5"
"253","5"
"254","4"
"255","3"
"256","5"
"257","3"
"258","2"
"259","1"
"260","3"
"261","3"
"262","5"
"263","5"
"264","4"
"265","4"
"266","3"
"267","5"
"268","4"
"269","3"
"270","2"
"271","3"
"272","5"
"273","4"
"274","5"
"275","4"
"276","2"
"277","5"
"278","1"
"279","2"
"280","3"
"281","2"
"282","5"
"283","5"
"284","4"
"285","4"
"286","5"
"287","3"
"288","2"
"289","5"
"290","5"
"291","2"
"292","5"
"293","5"
"294","5"
"295","4"
"296","4"
"297","3"
"298","5"
"299","3"
"300","5"
"301","2"
"302","4"
"303","2"
"304","5"
"305","5"
"306","5"
"307","5"
"308","4"
"309","5"
"310","5"
"311","5"
"312","5"
"313","4"
"314","1"
"315","5"
"316","3"
"317","3"
"318","4"
"319","4"
"320","5"
"321","5"
"322","5"
"323","5"
"324","4"
"325","3"
"326","2"
"327","5"
"328","4"
"329","3"
"330","2"
"331","4"
"332","2"
"333","2"
"334","4"
"335","4"
"336","5"
"337","5"
"338","2"
"339","4"
"340","1"
"341","3"
"342","3"
"343","3"
"344","5"
"345","5"
"346","5"
"347","5"
"348","4"
"349","5"
"350","4"
"351","2"
"352","4"
"353","4"
"354","5"
"355","3"
"356","4"
"357","3"
"358","5"
"359","1"
"360","2"
"361","3"
"362","5"
"363","3"
"364","2"
"365","2"
"366","5"
"367","5"
"368","5"
"369","3"
"370","5"
"371","4"
"372","3"
"373","4"
"374","4"
"375","5"
"376","5"
"377","4"
"378","3"
"379","2"
"380","4"
"381","2"
"382","3"
"383","2"
"384","5"
"385","5"
"386","4"
"387","2"
"388","1"
"389","3"
"390","3"
"391","4"
"392","5"
"393","5"
"394","5"
"395","4"
"396","2"
"397","5"
"398","5"
"399","3"
"400","2"
"401","3"
"402","2"
"403","5"
"404","2"
"405","2"
"406","4"
"407","2"
"408","2"
"409","4"
"410","3"
"411","1"
"412","4"
"413","5"
"414","2"
"415","5"
"416","3"
"417","2"
"418","5"
"419","5"
"420","2"
"421","1"
"422","3"
"423","2"
"424","4"
"425","3"
"426","5"
"427","4"
"428","2"
"429","4"
"430","5"
"431","5"
"432","4"
"433","2"
"434","4"
"435","2"
"436","5"
"437","4"
"438","2"
"439","5"
"440","1"
"441","5"
"442","2"
"443","2"
"444","5"
"445","2"
"446","3"
"447","5"
"448","2"
"449","5"
"450","2"
"451","2"
"452","5"
"453","1"
"454","5"
"455","1"
"456","3"
"457","4"
"458","5"
"459","4"
"460","5"
"461","5"
"462","5"
"463","5"
"464","5"
"465","5"
"466","2"
"467","5"
"468","5"
"469","2"
"470","4"
"471","2"
"472","5"
"473","5"
"474","2"
"475","4"
"476","3"
"477","3"
"478","4"
"479","5"
"480","5"
"481","3"
"482","3"
"483","5"
"484","3"
"485","5"
"486","5"
"487","3"
"488","2"
"489","4"
"490","5"
"491","4"
"492","1"
"493","5"
"494","3"
"495","2"
"496","3"
"497","4"
"498","4"
"499","5"
"500","3"
"501","5"
"502","3"
"503","3"
"504","5"
"505","4"
"506","1"
"507","5"
"508","4"
"509","4"
"510","5"
"511","3"
"512","4"
"513","3"
"514","2"
"515","2"
"516","5"
"517","4"
"518","4"
"519","5"
"520","4"
"521","5"
"522","5"
"523","4"
"524","4"
"525","5"
"526","2"
"527","5"
"528","3"
"529","5"
"530","5"
"531","3"
"532","4"
"533","2"
"534","3"
"535","4"
"536","2"
"537","5"
"538","5"
"539","3"
"540","4"
"541","2"
"542","3"
"543","4"
"544","5"
"545","5"
"546","3"
"547","4"
"548","5"
"549","4"
"550","2"
"551","2"
"552","4"
"553","2"
"554","5"
"555","2"
"556","3"
"557","4"
"558","5"
"559","4"
"560","3"
"561","4"
"562","5"
"563","2"
"564","5"
"565","3"
"566","3"
"567","2"
"568","2"
"569","3"
"570","5"
"571","4"
"572","5"
"573","4"
"574","4"
"575","2"
"576","5"
"577","5"
"578","2"
"579","2"
"580","5"
"581","1"
"582","2"
"583","2"
"584","5"
"585","4"
"586","5"
"587","4"
"588","5"
"589","3"
"590","3"
"591","4"
"592","2"
"593","1"
"594","3"
"595","5"
